_audit_dead_research.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	One-off audit: research modules not reachable from live path.
_run_diag_step1.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	1 terminal64
scripts/_patch14a2.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	
scripts/_rerun14a2.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	Re-run 14A-2 with corrected session_ok and NY-day estimate. Writes UTF-8 report.
scripts/_rerun14a2_fast.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	14A-2 fast cache-only audit.
scripts/_write_14c1_report.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	
scripts/analyze_dataset.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	Offline dataset quality analysis — Phase 3.
scripts/analyze_features.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	Offline feature analysis — quality and correlation reports.
scripts/analyze_shadow_performance.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	Analyze shadow ML/hybrid performance — Phase 5.2 (offline only).
scripts/analyze_shap.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	SHAP analysis for trained baseline models — offline research only.
scripts/architecture_implementation_audit.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	PHASE ARCHITECTURE-IMPLEMENTATION-AUDIT — READ-ONLY. Output: logs/architecture_implementation_audit.txt
scripts/audit_ml_dataset.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	Phase 8.2 — ML dataset quality and research audit.
scripts/backtest_adaptive_30d.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	30-day backtest with sub-strategy breakdown.
scripts/backtest_adaptive_regime.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	Compare adaptive multi-regime vs VOL_REGIME-only on recent M5 XAUUSD data.
scripts/backtest_adaptive_report.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	Run backtest and write JSON report (avoids stdout issues on Windows).
scripts/backtest_compare_strategies.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	Compare strategy variants on 14d real MT5 data.
scripts/backtest_vol_regime_24h.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	24-hour VOL_REGIME backtest — XAUUSD M5, ATR2.5_RR0.8, production TQ path.
scripts/backtest_vol_regime_today.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	VOL_REGIME backtest for a fixed UTC calendar day (default: today).
scripts/build_project_classification.py	2026-09-09 05:26:55 +0330	update project files	
scripts/build_project_memory.py	2026-09-09 05:26:55 +0330	update project files	
scripts/check_today_signals.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	Summarize today's kernel cycles and scan VOL_REGIME on live M5 bars.
scripts/clear_emergency_stop.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	Clear emergency stop flag so the bot can start again after kill switch.
scripts/debug_live_loop_exit.py	2026-08-19 19:38:20 +0330	Initial snapshot - TradingBot New	Run live loop briefly and log why the process exits.
